Year,Value
2000,14.2
2001,13.6
2002,13.2
2003,13.2
2004,13.4
2005,13.3
2006,13.5
2007,13.3
2008,13.3
2009,12.8
2010,12.1
2011,11.0
2012,10.4
2013,9.1
2014,8.1
2015,7.5
2016,7.0
